ProductName,SKU,PrimaryBinLocation,PrimaryBinQuantity,SecondaryBinLocation,SecondaryBinQuantity,NumberOnHand,NumberAvailable
Bucktown #10 Office Envelopes BU101-01,BU101-01,,0,0,0,0,0
Elmhurst #10 Office Envelopes EL101-01,EL101-01,,0,0,0,0,0
Evanston #10 Office Envelopes EV101-01,EV101-01,,0,0,0,0,0
Highland Park #10 Office Envelopes HP101-01,HP101-01,,0,0,0,0,0
Lake Forest #10 Office Envelopes LF101-01,LF101-01,,0,0,0,0,0
Libertyville #10 Office Envelopes LI101-01,LI101-01,,0,0,0,0,0
New Buffalo #10 Office Envelopes NB101-02,NB101-02,,0,0,0,0,0
St. Joseph #10 Office Envelopes SJ101-01,SJ101-01,,0,0,0,0,0
Winnetka #10 Office Envelopes WI101-01,WI101-01,,0,0,0,0,0
Elmhurst A6 Notecard Envelopes EL102-01,EL102-01,,0,0,0,0,0
Evanston A6 Notecard Envelopes EV102-01,EV102-01,,0,0,0,0,0
Highland Park A6 Notecard Envelopes HP102-01,HP102-01,,0,0,0,0,0
Lake Forest A6 Notecard Envelopes LF102-01,LF102-01,,0,0,0,0,0
Libertyville A6 Notecard Envelopes LI102-01,LI102-01,,0,0,0,0,0
New Buffalo A6 Notecard Envelopes NB102-02,NB102-02,,0,0,0,0,0
St. Joseph A6 Notecard Envelopes SJ102-01,SJ102-01,,0,0,0,0,0
Winnetka A6 Notecard Envelopes WI102-01,WI102-01,,0,0,0,0,0
General Letterhead GE103-01,GE103-01,,0,0,0,0,0
Bucktown Mailing Labels BU105-01,BU105-01,,0,0,0,0,0
Elmhurst Mailing Labels EL015-01,EL015-01,,0,0,0,0,0
Evanston Mailing Labels EV105-01,EV105-01,,0,0,0,0,0
Highland Park Mailing Labels HP105-01,HP105-01,,0,0,0,0,0
Lake Forest Mailing Labels LF105-01,LF105-01,,0,0,0,0,0
Libertyville Mailing Labels LI105-01,LI105-01,,0,0,0,0,0
New Buffalo Mailing Labels NB105-02,NB105-02,,0,0,0,0,0
St. Joseph Mailing Labels SJ105-01,SJ105-01,,0,0,0,0,0
Winnetka Mailing Labels WI105-01,WI105-01,,0,0,0,0,0
North Shore School Guide NS110-03,NS110-03,,0,0,0,0,0
City Neighborhood Guide CH114-05,CH114-05,,0,0,0,0,0
North Shore Neighborhood Guide NS114-04,NS114-04,,0,0,0,0,0
North Suburbs Neighborhood Guide NO114-04,NO114-04,,0,0,0,0,0
West Suburbs Neighborhood Guide WS114-04,WS114-04,,0,0,0,0,0
General Large Notepads GE117-01,GE117-01,,0,0,0,0,0
General Small Notepads GE118-01,GE118-01,,0,0,0,0,0
General Post-It Notes GE119-01,GE119-01,,0,0,0,0,0
North Shore Recruiting Kit NSKT02-01,NSKT02-01,,0,0,0,0,0
Monthly Mailer GE128-01,GE128-01,,0,0,0,0,0
EDDM Postcard GE129-01,GE129-01,,0,0,0,0,0
Bucktown A6 Notecard Envelopes BU102-01,BU102-01,,0,0,0,0,0
North Suburbs Recruiting Kit NOKT02-01,NOKT02-01,,0,0,0,0,0
Touche Folders GE137-01,GE137-01,,0,0,0,0,0
East Lincoln Park #10 Office Envelopes AL101-01,AL101-01,,0,0,0,0,0
Barrington Mailing Labels BA105-01,BA105-01,,0,0,0,0,0
East Lincoln Park Mailing Labels AL105-01,AL105-01,,0,0,0,0,0
General Buyer Book GE113-02 (DEACTIVATED),GE113-02,,0,0,0,0,0
East Lincoln Park A6 Notecard Envelopes AL102-01,AL102-01,,0,0,0,0,0
City Recruiting Kit CHKT02-01,CHKT02-01,,0,0,0,0,0
West Suburbs Recruiting Kit WSKT02-01,WSKT02-01,,0,0,0,0,0
Barrington A6 Notecard Envelopes BA102-01,BA102-01,,0,0,0,0,0
Listing Brochure City  GE126-01,GE126-01,,0,0,0,0,0
